[ 3849.863342] PUF Read:0xaaaaa2aa at 0xa00100a4
[ 3849.863342] PUF Read:0xa8aaaaaa at 0xa00100a8
[ 3849.863403] PUF Read:0xeaaaaaaa at 0xa00100ac
[ 3849.863433] PUF Read:0xaeaaaaaa at 0xa00100b0
[ 3849.863433] PUF Read:0xaaaaaaaa at 0xa00100b4
[ 3849.863433] PUF Read:0xaaaaaaaa at 0xa00100b8
[ 3849.863494] PUF Read:0xaaaaaaaa at 0xa00100bc
[ 3849.863494] PUF Read:0xaaaaaaaa at 0xa00100c0
[ 3849.863555] PUF Read:0x2aaaaaaa at 0xa00100c4
[ 3849.863586] PUF Read:0xaaaaaaaa at 0xa00100c8
[ 3849.863586] PUF Read:0xabaaaaba at 0xa00100cc
[ 3849.863586] PUF Read:0xaaa8abaa at 0xa00100d0
[ 3849.863647] PUF Read:0xaaaa2aaa at 0xa00100d4
[ 3849.863647] PUF Read:0x8aaeaaaa at 0xa00100d8
[ 3849.863708] PUF Read:0xaaaaaa2a at 0xa00100dc
[ 3849.863739] PUF Read:0xaaaaaaaa at 0xa00100e0
[ 3849.863739] PUF Read:0xaaaaaaaa at 0xa00100e4
[ 3849.863739] PUF Read:0xaaaaa2aa at 0xa00100e8
[ 3849.863800] PUF Read:0xaaaaaaaa at 0xa00100ec
[ 3849.863800] PUF Read:0xaaaaaaaa at 0xa00100f0
[ 3849.863861] PUF Read:0xaaaaaaaa at 0xa00100f4
[ 3849.863891] PUF Read:0xaaaa2aaa at 0xa00100f8
[ 3849.863891] PUF Read:0xaaafaaaa at 0xa00100fc
[ 3849.863952] PUF Read:0xaa2aaaaa at 0xa0010100
[ 3849.863952] PUF Read:0xaaaaaaaa at 0xa0010104
[ 3849.863952] PUF Read:0xaaaaaaaa at 0xa0010108
[ 3849.864013] PUF Read:0xaebfaaaa at 0xa001010c
[ 3849.864044] PUF Read:0xaaaaa8ab at 0xa0010110
[ 3849.864044] PUF Read:0xaaaaaaaa at 0xa0010114
[ 3849.864105] PUF Read:0xaaaaaaa2 at 0xa0010118
[ 3849.864105] PUF Read:0xbaaaaa8a at 0xa001011c
[ 3849.864105] PUF Read:0xaeaaaaaa at 0xa0010120
[ 3849.864166] PUF Read:0xaaaeaaa2 at 0xa0010124
[ 3849.864196] PUF Read:0xaaaaaaaa at 0xa0010128
[ 3849.864196] PUF Read:0xaaaaaaaa at 0xa001012c
[ 3849.864257] PUF Read:0xaaaaaaaa at 0xa0010130
[ 3849.864257] PUF Read:0xaaaaeaaa at 0xa0010134
[ 3849.864257] PUF Read:0xbaaa2aaa at 0xa0010138
[ 3849.864257] PUF Read:0xaa8aaaa8 at 0xa001013c
[ 3849.864349] PUF Read:0xaeeaaaa8 at 0xa0010140
[ 3849.864349] PUF Read:0xaaaaaaab at 0xa0010144
[ 3849.864349] PUF Read:0xaaaaaaaa at 0xa0010148
[ 3849.864349] PUF Read:0xaaaaaaaa at 0xa001014c
[ 3849.864349] PUF Read:0xaaaaaaaa at 0xa0010150
[ 3849.864349] PUF Read:0xaaaaaaaa at 0xa0010154
[ 3849.864501] PUF Read:0xaaaaaaaa at 0xa0010158
[ 3849.864501] PUF Read:0xaaaaaaaa at 0xa001015c
[ 3849.864501] PUF Read:0xaaaaeaaa at 0xa0010160
[ 3849.864501] PUF Read:0xa8aaaaaa at 0xa0010164
[ 3849.864501] PUF Read:0x2aaaaaaa at 0xa0010168
[ 3849.864501] PUF Read:0xaaaaabaa at 0xa001016c
[ 3849.864654] PUF Read:0xaaaaaaea at 0xa0010170
[ 3849.864654] PUF Read:0xaaabaaaa at 0xa0010174
[ 3849.864654] PUF Read:0xaaaa6aaa at 0xa0010178
[ 3849.864654] PUF Read:0xaaaaaaaa at 0xa001017c
[ 3849.864654] PUF Read:0xaaaaaaaa at 0xa0010180
[ 3849.864654] PUF Read:0xaaaaaaaa at 0xa0010184
[ 3849.864807] PUF Read:0xaaaaaaaa at 0xa0010188
[ 3849.864807] PUF Read:0x22aaaaaa at 0xa001018c
[ 3849.864807] PUF Read:0xaaaaaaaa at 0xa0010190
[ 3849.864807] PUF Read:0xaa2aaaaa at 0xa0010194
[ 3849.864807] PUF Read:0xaaaaa8aa at 0xa0010198
[ 3849.864807] PUF Read:0xaaaaaaaa at 0xa001019c
[ 3849.864959] PUF Read:0xaaabaaaa at 0xa00101a0
[ 3849.864959] PUF Read:0xaaaaaaaa at 0xa00101a4
[ 3849.865020] PUF Read:0xaaaaaaaa at 0xa00101a8
[ 3849.865020] PUF Read:0xaaaaaaaa at 0xa00101ac
[ 3849.865020] PUF Read:0xaa8aaaaa at 0xa00101b0
[ 3849.865081] PUF Read:0xaaeaaaaa at 0xa00101b4
[ 3849.865112] PUF Read:0xaaaaaaaa at 0xa00101b8
[ 3849.865112] PUF Read:0xaaaaaaaa at 0xa00101bc
[ 3849.865112] PUF Read:0xaaaaaaaa at 0xa00101c0
[ 3849.865173] PUF Read:0xa2aaaeaa at 0xa00101c4
[ 3849.865173] PUF Read:0xaaaaaaaa at 0xa00101c8
[ 3849.865234] PUF Read:0xaaaaaaaa at 0xa00101cc
[ 3849.865264] PUF Read:0xaaaaaaaa at 0xa00101d0
[ 3849.865264] PUF Read:0xaaaaaaaa at 0xa00101d4
[ 3849.865264] PUF Read:0xaaaaabaa at 0xa00101d8
[ 3849.865264] PUF Read:0xaeaaaaaa at 0xa00101dc
[ 3849.865264] PUF Read:0xaaaaaaab at 0xa00101e0
[ 3849.865264] PUF Read:0xbaaaaaaa at 0xa00101e4
[ 3849.865417] PUF Read:0xaaaaaaaa at 0xa00101e8
[ 3849.865417] PUF Read:0xaaaa8aa8 at 0xa00101ec
[ 3849.865417] PUF Read:0xbaaaaaaa at 0xa00101f0
[ 3849.865417] PUF Read:0xaaaaaaaa at 0xa00101f4
[ 3849.865417] PUF Read:0xaaa8a2aa at 0xa00101f8
[ 3849.865417] PUF Read:0xaaaaaaaa at 0xa00101fc
[ 3849.865570] PUF Read:0xaaaaa2aa at 0xa0010200
[ 3849.865570] PUF Read:0xaaaaaaaa at 0xa0010204
[ 3849.865570] PUF Read:0xaaaaa8a8 at 0xa0010208
[ 3849.865570] PUF Read:0xaaaaaaae at 0xa001020c
[ 3849.865570] PUF Read:0xaa8aaaaa at 0xa0010210
[ 3849.865570] PUF Read:0xaaaaabaa at 0xa0010214
[ 3849.865722] PUF Read:0xaaaaaaaa at 0xa0010218
[ 3849.865722] PUF Read:0xaaabaaaa at 0xa001021c
[ 3849.865722] PUF Read:0xaaa2aaea at 0xa0010220
[ 3849.865722] PUF Read:0xaaaaaaaa at 0xa0010224
[ 3849.865722] PUF Read:0xaafaaaaa at 0xa0010228
[ 3849.865722] PUF Read:0xaaaaa8aa at 0xa001022c
[ 3849.865875] PUF Read:0xaaaaaaaa at 0xa0010230
[ 3849.865875] PUF Read:0xaaaabaaa at 0xa0010234
[ 3849.865875] PUF Read:0xaaaaaaaa at 0xa0010238
